Date|BTC Price
01-01-2011| 0.30
02-01-2011| 0.30
03-01-2011| 0.30
04-01-2011| 0.30
05-01-2011| 0.30
06-01-2011| 0.30
07-01-2011| 0.32
08-01-2011| 0.32
09-01-2011| 0.32
10-01-2011| 0.32
11-01-2011| 0.33
12-01-2011| 0.33
13-01-2011| 0.41
14-01-2011| 0.41
15-01-2011| 0.40
16-01-2011| 0.40
17-01-2011| 0.40
18-01-2011| 0.40
19-01-2011| 0.34
20-01-2011| 0.34
21-01-2011| 0.44
22-01-2011| 0.44
23-01-2011| 0.44
24-01-2011| 0.44
25-01-2011| 0.43
26-01-2011| 0.43
27-01-2011| 0.42
28-01-2011| 0.42
29-01-2011| 0.45
30-01-2011| 0.45
31-01-2011| 0.50
01-02-2011| 0.50
02-02-2011| 0.84
03-02-2011| 0.84
04-02-2011| 0.88
05-02-2011| 0.88
06-02-2011| 0.92
07-02-2011| 0.92
08-02-2011| 0.90
09-02-2011| 0.90
10-02-2011| 1.10
11-02-2011| 1.10
12-02-2011| 1.09
13-02-2011| 1.09
14-02-2011| 1.08
15-02-2011| 1.08
16-02-2011| 1.05
17-02-2011| 1.05
18-02-2011| 1.05
19-02-2011| 1.05
20-02-2011| 0.95
21-02-2011| 0.95
22-02-2011| 0.87
23-02-2011| 0.87
24-02-2011| 0.95
25-02-2011| 0.95
26-02-2011| 0.99
27-02-2011| 0.99
28-02-2011| 0.95
01-03-2011| 0.95
02-03-2011| 0.95
03-03-2011| 0.95
04-03-2011| 0.94
05-03-2011| 0.94
06-03-2011| 0.91
07-03-2011| 0.91
08-03-2011| 0.91
09-03-2011| 0.91
10-03-2011| 0.87
11-03-2011| 0.87
12-03-2011| 0.92
13-03-2011| 0.92
14-03-2011| 0.90
15-03-2011| 0.90
16-03-2011| 0.89
17-03-2011| 0.89
18-03-2011| 0.85
19-03-2011| 0.85
20-03-2011| 0.79
21-03-2011| 0.79
22-03-2011| 0.80
23-03-2011| 0.80
24-03-2011| 0.90
25-03-2011| 0.90
26-03-2011| 0.91
27-03-2011| 0.91
28-03-2011| 0.86
29-03-2011| 0.86
30-03-2011| 0.80
31-03-2011| 0.80
01-04-2011| 0.80
02-04-2011| 0.80
03-04-2011| 0.80
04-04-2011| 0.80
05-04-2011| 0.71
06-04-2011| 0.71
07-04-2011| 0.77
08-04-2011| 0.77
09-04-2011| 0.77
10-04-2011| 0.77
11-04-2011| 0.78
12-04-2011| 0.78
13-04-2011| 1.00
14-04-2011| 1.00
15-04-2011| 1.09
16-04-2011| 1.09
17-04-2011| 1.09
18-04-2011| 1.09
19-04-2011| 1.19
20-04-2011| 1.19
21-04-2011| 1.20
22-04-2011| 1.20
23-04-2011| 1.55
24-04-2011| 1.55
25-04-2011| 1.70
26-04-2011| 1.70
27-04-2011| 1.95
28-04-2011| 1.95
29-04-2011| 2.70
30-04-2011| 2.70
01-05-2011| 4.09
02-05-2011| 4.09
03-05-2011| 3.49
04-05-2011| 3.49
05-05-2011| 3.50
06-05-2011| 3.50
07-05-2011| 3.70
08-05-2011| 3.70
09-05-2011| 3.94
10-05-2011| 3.94
11-05-2011| 6.07
12-05-2011| 6.07
13-05-2011| 8.45
14-05-2011| 8.45
15-05-2011| 8.55
16-05-2011| 8.55
17-05-2011| 8.39
18-05-2011| 8.39
19-05-2011| 7.34
20-05-2011| 7.34
21-05-2011| 6.60
22-05-2011| 6.60
23-05-2011| 7.45
24-05-2011| 7.45
25-05-2011| 7.51
26-05-2011| 7.51
27-05-2011| 8.92
28-05-2011| 8.92
29-05-2011| 8.50
30-05-2011| 8.50
