Date|Price|Market Cap
2021-07-11|1|26133666248
2021-07-10|1|26093576850
2021-07-09|1|26080004230
2021-07-08|1|25929528897
2021-07-07|1|25816261454
2021-07-06|1|25673216976
2021-07-05|1|25547238480
2021-07-04|1|25511718609
2021-07-03|1|25504372339
2021-07-02|1|25397754841
2021-07-01|1|25213067934
2021-06-30|1|25162837210
2021-06-29|1|25247277934
2021-06-28|1|25459337227
2021-06-27|1|25791977537
2021-06-26|1|25748069379
2021-06-25|1|25644694480
2021-06-24|1|25488736012
2021-06-23|1|25403901903
2021-06-22|1|25125242356
2021-06-21|1|24988254766
2021-06-20|1|24440364970
2021-06-19|1|24382945959
2021-06-18|1|24202087031
2021-06-17|1|23931183948
2021-06-16|1|23946171387
2021-06-15|1|23754260105
2021-06-14|1|23675446320
2021-06-13|1|23641140562
2021-06-12|1|23601392373
2021-06-11|1|23442188511
2021-06-10|1|23210090792
2021-06-09|1|23252675130
2021-06-08|1|23163391427
2021-06-07|1|23088855996
2021-06-06|1|23003536496
2021-06-05|1|22912903574
2021-06-04|1|22896455411
2021-06-03|1|22853602333
2021-06-02|1|22793506953
2021-06-01|1|22666917055
2021-05-31|1|22628794881
2021-05-30|1|22421676957
2021-05-29|1|22230727828
2021-05-28|1|22101934365
2021-05-27|1|22033952477
2021-05-26|1|21569274597
2021-05-25|1|20927969767
2021-05-24|1|20620985422
2021-05-23|1|14386222481
2021-05-22|1|14391760466
2021-05-21|1|14386155673
2021-05-20|1|14378432856
2021-05-19|1|14379094941
2021-05-18|1|14380422263
2021-05-17|1|14381592410
2021-05-16|1|14382393542
2021-05-15|1|14381454393
2021-05-14|1|14379613297
2021-05-13|1|14377632212
2021-05-12|1|14381550570
2021-05-11|1|14382565068
2021-05-10|1|14380406652
2021-05-09|1|14380909714
2021-05-08|1|14380644036
2021-05-07|1|14381263993
2021-05-06|1|14380945534
2021-05-05|1|14381849331
2021-05-04|1|14382959284
2021-05-03|1|14381650985
2021-05-02|1|14379417664
2021-05-01|1|14382369888
2021-04-30|1|14377629318
2021-04-29|1|11244901551     
2021-04-28|1|11245520896     
2021-04-27|1|11242465861
2021-04-26|1|11243138881     
2021-04-25|1|11245293626     
2021-04-24|1|11244016314
2021-04-23|1|11243040139
2021-04-22|1|11243603612
2021-04-21|1|11308463144
2021-04-20|1|11307563186
2021-04-19|1|11306577613
2021-04-18|1|11308018713
2021-04-17|1,01|11425630120
2021-04-16|1|11318635266
2021-04-15|1|11310637809
2021-04-14|1|11270550187
2021-04-13|0,9995|10823831921
2021-04-12|1|10791909575
2021-04-11|1|11065073074
2021-04-10|1|10954682454
2021-04-09|1|10905870848
2021-04-08|1|10942441781
2021-04-07|1|10785983094
2021-04-06|1|10714215062
2021-04-05|1|10805209578
2021-04-04|1|10884944736
2021-04-03|1|10650300099
2021-04-02|1|10694274869
2021-04-01|1|10640299852
2021-03-31|0,9996|10656787148
2021-03-30|1|10672829323
2021-03-29|1|10555729469
2021-03-28|1|10768922656
2021-03-27|1|10657171951
2021-03-26|1|10588724708
2021-03-25|1|10338431177
2021-03-24|1|10167631689
2021-03-23|1|10090872105
2021-03-22|1|10036692734
2021-03-21|1|9918143113
