Date|Hash Rate
2009-01-09|9.44495122962963E-07
2009-01-10|3.03232644740741E-06
2009-01-11|4.62305507555556E-06
2009-01-12|4.67276534518519E-06
2009-01-13|6.11436316444444E-06
2009-01-14|6.41262478222222E-06
2009-01-15|6.26349397333333E-06
2009-01-16|0.00000536870912
2009-01-17|5.41841938962963E-06
2009-01-18|5.31899885037037E-06
2009-01-19|5.71668100740741E-06
2009-01-20|5.66697073777778E-06
2009-01-21|5.07044750222222E-06
2009-01-22|4.5236345362963E-06
2009-01-23|4.17566264888889E-06
2009-01-24|9.99176419555555E-06
2009-01-25|9.49466149925926E-06
2009-01-26|4.77218588444444E-06
2009-01-27|4.82189615407407E-06
2009-01-28|5.56755019851852E-06
2009-01-29|6.01494262518518E-06
2009-01-30|5.81610154666667E-06
2009-01-31|6.86001720888889E-06
2009-02-01|5.61726046814815E-06
2009-02-02|6.36291451259259E-06
2009-02-03|6.90972747851852E-06
2009-02-04|5.91552208592593E-06
2009-02-05|6.26349397333333E-06
2009-02-06|6.06465289481481E-06
2009-02-07|6.41262478222222E-06
2009-02-08|6.56175559111111E-06
2009-02-09|6.66117613037037E-06
2009-02-10|5.96523235555556E-06
2009-02-11|6.61146586074074E-06
2009-02-12|5.91552208592593E-06
2009-02-13|6.16407343407407E-06
2009-02-14|6.76059666962963E-06
2009-02-15|6.36291451259259E-06
2009-02-16|6.06465289481481E-06
2009-02-17|5.81610154666667E-06
2009-02-18|5.8658118162963E-06
2009-02-19|6.16407343407407E-06
2009-02-20|6.06465289481481E-06
2009-02-21|5.66697073777778E-06
2009-02-22|6.01494262518518E-06
2009-02-23|0.00000536870912
2009-02-24|5.26928858074074E-06
2009-02-25|5.21957831111111E-06
2009-02-26|5.31899885037037E-06
2009-02-27|5.71668100740741E-06
2009-02-28|4.92131669333333E-06
2009-03-01|5.21957831111111E-06
2009-03-02|0.00000536870912
2009-03-03|5.21957831111111E-06
2009-03-04|5.16986804148148E-06
2009-03-05|5.56755019851852E-06
2009-03-06|5.81610154666667E-06
2009-03-07|5.41841938962963E-06
2009-03-08|5.71668100740741E-06
2009-03-09|0.00000536870912
2009-03-10|5.31899885037037E-06
2009-03-11|5.66697073777778E-06
2009-03-12|5.8658118162963E-06
2009-03-13|5.61726046814815E-06
2009-03-14|5.46812965925926E-06
2009-03-15|6.11436316444444E-06
2009-03-16|6.01494262518518E-06
2009-03-17|5.66697073777778E-06
2009-03-18|5.66697073777778E-06
2009-03-19|6.06465289481481E-06
2009-03-20|5.8658118162963E-06
2009-03-21|2.48551348148148E-06
2009-03-22|5.91552208592593E-06
2009-03-23|6.46233505185185E-06
2009-03-24|5.21957831111111E-06
2009-03-25|5.81610154666667E-06
2009-03-26|5.81610154666667E-06
2009-03-27|5.26928858074074E-06
2009-03-28|5.91552208592593E-06
2009-03-29|5.76639127703704E-06
2009-03-30|5.96523235555556E-06
2009-03-31|5.46812965925926E-06
2009-04-01|5.66697073777778E-06
2009-04-02|5.71668100740741E-06
2009-04-03|5.76639127703704E-06
2009-04-04|5.61726046814815E-06
2009-04-05|6.46233505185185E-06
2009-04-06|5.41841938962963E-06
2009-04-07|4.97102696296296E-06
2009-04-08|5.21957831111111E-06
2009-04-09|4.92131669333333E-06
2009-04-10|0.00000536870912
2009-04-11|5.96523235555556E-06
2009-04-12|5.8658118162963E-06
2009-04-13|5.71668100740741E-06
2009-04-14|6.16407343407407E-06
2009-04-15|5.61726046814815E-06
