Date|Supply|Price USD
01/10/2009|1311200|0.000763941940412529
01/11/2009|1422050|0.002
01/12/2009|1624450|0.002
01/01/2010|1874650|0.002
01/02/2010|2154800|0.002
01/03/2010|2414850|0.003
01/04/2010|2693750|0.0035
01/05/2010|2940750|0.0041
01/06/2010|3178050|0.04
01/07/2010|3571800|0.07
01/08/2010|3872600|0.06
01/09/2010|4149850|0.06
01/10/2010|4444600|0.19
01/11/2010|4740050|0.21
01/12/2010|5020450|0.3
01/01/2011|5278500|0.52
01/02/2011|5556800|0.86
01/03/2011|5801900|0.78
01/04/2011|6056300|3.5
01/05/2011|6393250|8.7
01/06/2011|6706050|16
01/07/2011|6951750|13
01/08/2011|7170400|9
01/09/2011|7378250|5.35
01/10/2011|7565700|3.388
01/11/2011|7772550|2.959
01/12/2011|8001800|4.995
01/01/2012|8239000|5.65
01/02/2012|8456750|4.9
01/03/2012|8690200|4.95
01/04/2012|8900700|5
01/05/2012|9121400|5.19
01/06/2012|9348150|6.693
01/07/2012|9586800|9.44
01/08/2012|9830750|10.8359
01/09/2012|10065500|12.47499
01/10/2012|10295900|11.14
01/11/2012|10517450|12.65
01/12/2012|10622775|13.59
01/01/2013|10733875|21.43
01/02/2013|10850325|33.50001
01/03/2013|10983900|92.50001
01/04/2013|11108075|139.109
01/05/2013|11232500|127.34072
01/06/2013|11362700|96.5
01/07/2013|11496825|104.95555
01/08/2013|11642750|132.75
01/09/2013|11783425|125.8
01/10/2013|11938400|201.61
01/11/2013|12068075|1119.96
01/12/2013|12208600|731
01/01/2014|12345400|802.5
01/02/2014|12467950|577.97
01/03/2014|12595775|457
01/04/2014|12721525|449
01/05/2014|12847500|620.45
01/06/2014|12975500|620
01/07/2014|13093800|586
01/08/2014|13221975|477.98
01/09/2014|13340425|382.67
01/10/2014|13457175|323
01/11/2014|13567775|375.96
01/12/2014|13680225|295
01/01/2015|13793500|229.7
01/02/2015|13898975|252.98
01/03/2015|14012750|242.92
01/04/2015|14119100|235.13
01/05/2015|14230725|231.95
01/06/2015|14340275|262.53
01/07/2015|14454850|284.78
01/08/2015|14569725|230.94
01/09/2015|14681450|237.91
01/10/2015|14795450|330
01/11/2015|14911675|372.53
01/12/2015|15038250|429.34
01/01/2016|15159925|376
01/02/2016|15273725|436
01/03/2016|15388175|416
01/04/2016|15499650|469
01/05/2016|15615150|531
01/06/2016|15726775|671
01/07/2016|15781337.5|628
01/08/2016|15839450|574
01/09/2016|15896287.5|609
01/10/2016|15953087.5|702
01/11/2016|16009500|777
01/12/2016|16068150|968
01/01/2017|16129550|964
01/02/2017|16182737.5|1191
01/03/2017|16240637.5|1070
01/04/2017|16296112.5|1350
01/05/2017|16356762.5|2298
01/06/2017|16412650|2458
01/07/2017|16473725|2855
01/08/2017|16528800|4734
01/09/2017|16589487.5|4329
01/10/2017|16649712.5|6445
01/11/2017|16704387.5|9948
01/12/2017|16767250|13863
01/01/2018|16830437.5|10099
01/02/2018|16885050|10307
01/03/2018|16943237.5|6928
01/04/2018|17000862.5|9243
01/05/2018|17059825|7485
01/06/2018|17117325|6383
01/07/2018|17175400|7727
01/08/2018|17235437.5|7015
01/09/2018|17290675|6605
01/10/2018|17345412.5|6304
01/11/2018|17393787.5|4039
01/12/2018|17448475|3692
01/01/2019|17505037.5|3411
01/02/2019|17556600|3792
01/03/2019|17612600|4000
01/04/2019|17622312.5|4142.69099928995
01/05/2019|17676112.5|5327.63306144465
01/06/2019|17733925|8547.09699448437
01/07/2019|17791625|10593.1698821231
01/08/2019|17850687.5|10381.9666858339
01/09/2019|17908562.5|9772.84289464205
01/10/2019|17967712.5|8314.3367736789
01/11/2019|18024187.5|9246.6710306365
01/12/2019|18076600|7400.83611021093
01/01/2020|18134325|7191.69746010712
01/02/2020|18193412.5|9367.04580234081
01/03/2020|18245750|8509.9840779821
01/04/2020|18299475|6654.9742723767
01/05/2020|18354512.5|8819.54662016931
01/06/2020|18391656.25|10188.9234782839
01/07/2020|18419856.25|9227.43391232993
01/08/2020|18448700|11853.1189711683
01/09/2020|18476856.25|11937.1753502041
01/10/2020|18505043.75|10623.2748183162
01/11/2020|18531231.25|13784.5104317426
01/12/2020|18558781.25|18746.6940195074
01/01/2021|18587650|29386.2832583919
01/02/2021|18616531.25|33509.4154157457
01/03/2021|18642075|49659.0740572743
