Date|Price|Market Cap
2021-04-29|1|51010197190
2021-04-28|1|50928908903
2021-04-27|1|50309001546
2021-04-26|1|50008339565
2021-04-25|0,9999|49961963197
2021-04-24|0,9999|49288865014
2021-04-23|1|48354952205
2021-04-22|1|49325346964
2021-04-21|0,9999|49056479729
2021-04-20|0,9999|48686983805
2021-04-19|0,9999|48140002226
2021-04-18|1|48080200312
2021-04-17|1,01|48354952205
2021-04-16|1|46981343646
2021-04-15|1|46531190377
2021-04-14|1|45928655478
2021-04-13|0,9993|45355595567
2021-04-12|0,9999|44447108385
2021-04-11|1|44521618210
2021-04-10|1|44397226113
2021-04-09|1|43841876425
2021-04-08|1|43647092968
2021-04-07|1|43135955532
2021-04-06|1|43062968453
2021-04-05|1|42390503282
2021-04-04|1|42503862984
2021-04-03|1|42440290238
2021-04-02|1|41708271322
2021-04-01|1|40742058575
2021-03-31|1|40723981487
2021-03-30|1|40681086817
2021-03-29|0,9998|40467698670
2021-03-28|1|40500517197
2021-03-27|1|40185072295
2021-03-26|1|40274665487
2021-03-25|1|40329456619
2021-03-24|1|39890351375
2021-03-23|1|39702747918
2021-03-22|1|39626700644
2021-03-21|1|39567651238
2021-03-20|1|39525018904
2021-03-19|1|39311262206
2021-03-18|1|38904898368
2021-03-17|0,9991|38660244602
2021-03-16|1|38647978371
2021-03-15|1|38529973461
2021-03-14|0,9998|38235568475
2021-03-13|0,9998|38224664052
2021-03-12|1|38119626345
2021-03-11|1|37514467151
2021-03-10|1|37086634927
2021-03-09|1|36818376521
2021-03-08|1|36482628339
2021-03-07|1|36472973682
2021-03-06|1|36438046373
2021-03-05|1|36394667328
2021-03-04|1|36266584108
2021-03-03|1|35886328358
2021-03-02|1|35458580808
2021-03-01|1|35068760205
2021-02-28|1|35051423320
2021-02-27|1|35024034646
2021-02-26|1|35009955967
2021-02-25|1|34927984531
2021-02-24|1|34910214475
2021-02-23|1|34762222903
2021-02-22|1|34454369301
2021-02-21|1|34268903481
2021-02-20|1|34125152335
2021-02-19|1|33537929874
2021-02-18|1|33138979946
2021-02-17|1|32428113699
2021-02-16|1|32253692839
2021-02-15|1|32097723612
2021-02-14|1|32031576070
2021-02-13|1|31614848889
2021-02-12|1|31194081728
2021-02-11|1|30738990767
2021-02-10|1|30322433016
2021-02-09|1|29791218141
2021-02-08|1|28801870407
2021-02-07|1|28640986239
2021-02-06|1|28259209039
2021-02-05|1|27792866868
2021-02-04|1|27447659384
2021-02-03|1|27049305333
2021-02-02|1|26789427696
2021-02-01|1|26618802808
2021-01-31|1|26451988954
2021-01-30|1|26373892015
2021-01-29|1|25361027162
2021-01-28|1|25441086456
2021-01-27|1|25241343727
2021-01-26|1|25000596908
2021-01-25|1|24915669100
2021-01-24|1|24852549111
2021-01-23|1|24790145471
2021-01-22|1|24762073399
2021-01-21|0,9997|24821289308
2021-01-20|1|24764314271
2021-01-19|1|24365241025
2021-01-18|1|24371700755
2021-01-17|1|24335202163
2021-01-16|1|24294865189
2021-01-15|0,9998|24244384051
2021-01-14|0,999|24234096940
2021-01-13|1|24236239233
2021-01-12|1|24242336790
2021-01-11|1|24286060230
2021-01-10|1|24229726419
2021-01-09|1|23729547866
2021-01-08|1|23457770452
2021-01-07|1|22855554470
2021-01-06|1|22154599221
2021-01-05|1|21864181371
2021-01-04|1|21811422497
2021-01-03|1|21340101768
2021-01-02|1|21218363937
2021-01-01|1|21116011795
2020-12-31|1|20939440705
2020-12-30|1|20893813528
2020-12-29|0,9986|20812479543
2020-12-28|0,9986|20791781913
2020-12-27|0,9989|20729387121
2020-12-26|0,9985|20682693558
2020-12-25|1|20687636701
2020-12-24|0,9999|20531759416
2020-12-23|0,9994|20459114820
2020-12-22|0,9996|20387249195
2020-12-21|0,9998|20301832634
2020-12-20|0,9996|20293091730
2020-12-19|1|20120367514
2020-12-18|1|20056228135
2020-12-17|0,9998|19994596727
2020-12-16|1|19779356101
2020-12-15|1|19782914877
2020-12-14|0,9999|19833641700
2020-12-13|1|19834034805
2020-12-12|1|19826181940
2020-12-11|1|19778053308
2020-12-10|1|19758499141
2020-12-09|1|19721357390
2020-12-08|0,9997|19707994302
2020-12-07|1|19693247298
2020-12-06|1|19683467751
2020-12-05|1|19645340054
2020-12-04|1|19537072295
2020-12-03|1|19466986495
2020-12-02|1|19417653464
2020-12-01|1|19379236734
2020-11-30|1|19134597304
2020-11-29|1|19126891188
2020-11-28|1|19057337380
2020-11-27|1|18980402374
2020-11-26|1|18996225427
2020-11-25|1|18655472843
2020-11-24|0,9998|18650896567
2020-11-23|1|18501087258
2020-11-22|0,9992|18454866337
2020-11-21|0,9989|18354801632
2020-11-20|1|18194259218
2020-11-19|1|18129139982
2020-11-18|1|18025791690
2020-11-17|1|17964515939
2020-11-16|1|17874210107
2020-11-15|1|17878397979
2020-11-14|1|17838172794
2020-11-13|1|17703110178
2020-11-12|1|17560143157
2020-11-11|1|17474058290
2020-11-10|1|17360230054
2020-11-09|1|17272054595
2020-11-08|1|17210335409
2020-11-07|1|17153778949
2020-11-06|1|16990926302
2020-11-05|1|16865673902
2020-11-04|1|16772875580
2020-11-03|1|16707324625
2020-11-02|1|16678325554
2020-11-01|1|16660908761
2020-10-31|1|16657642843
2020-10-30|1|16547512716
2020-10-29|1|16500217958
2020-10-28|1|16447158497
2020-10-27|1|16373107903
2020-10-26|1|16342404839
2020-10-25|1|16284768872
2020-10-24|1|16251194774
2020-10-23|1|16146334298
2020-10-22|1|15914538960
2020-10-21|1|15926349869
2020-10-20|1|15873010886
2020-10-19|1|15846170308
2020-10-18|1|15829362025
2020-10-17|1|15817975341
2020-10-16|1|15787627470
2020-10-15|1|15762741555
2020-10-14|1|15759653344
2020-10-13|1|15758961791
2020-10-12|1|15741941344
2020-10-11|1|15733015683
2020-10-10|1|15722861220
2020-10-09|1|15626233375
2020-10-08|1|15626913774
2020-10-07|1|15618158871
2020-10-06|1|15607910737
2020-10-05|1|15624445457
2020-10-04|1|15596092060
2020-10-03|1|15597181835
2020-10-02|1|15556085822
2020-10-01|1|15512206826
2020-09-30|1|15522531378
2020-09-29|1|15473744248
2020-09-28|1|15405393593
2020-09-27|1|15362440715
2020-09-26|1|15300612699
2020-09-25|1|15242978802
2020-09-24|1|15239941762
2020-09-23|1|15218786102
2020-09-22|1|15233945625
2020-09-21|1|15243875313
2020-09-20|1|15238740760
2020-09-19|1|15228650868
2020-09-18|0,9995|15103276766
2020-09-17|1|15073198578
2020-09-16|1|14999924553
2020-09-15|1|14945264816
2020-09-14|1|14728290333
2020-09-13|0,9992|14697754458
2020-09-12|1|14702420809
2020-09-11|1|14594441178
2020-09-10|1|14452950931
2020-09-09|1|14362185113
2020-09-08|1|14214715952
2020-09-07|1|14153158068
